worker,t0,t1,bytes
cpu,27624.057777,27624.058733,22020096
cpu,27624.058733,27624.059694,22020096
cpu,27624.059694,27624.060661,22020096
cpu,27624.060662,27624.061633,22020096
cpu,27624.061633,27624.062585,22020096
cpu,27624.062586,27624.063545,22020096
cpu,27624.063545,27624.064518,22020096
cpu,27624.064518,27624.065472,22020096
cpu,27624.065472,27624.066430,22020096
cpu,27624.066430,27624.067380,22020096
cpu,27624.067380,27624.068348,22020096
cpu,27624.068348,27624.069302,22020096
cpu,27624.069302,27624.070267,22020096
cpu,27624.070268,27624.071227,22020096
cpu,27624.071227,27624.072204,22020096
cpu,27624.072204,27624.073163,22020096
cpu,27624.073163,27624.074116,22020096
cpu,27624.074116,27624.075071,22020096
cpu,27624.075071,27624.076045,22020096
cpu,27624.076045,27624.077007,22020096
cpu,27624.077007,27624.077962,22020096
cpu,27624.077962,27624.078920,22020096
cpu,27624.078920,27624.079882,22020096
cpu,27624.079882,27624.080888,22020096
cpu,27624.080888,27624.081895,22020096
cpu,27624.081895,27624.082880,22020096
cpu,27624.082880,27624.083870,22020096
cpu,27624.083870,27624.084891,22020096
cpu,27624.084891,27624.085845,22020096
cpu,27624.085845,27624.086804,22020096
cpu,27624.086804,27624.087761,22020096
cpu,27624.087761,27624.088734,22020096
cpu,27624.088735,27624.089691,22020096
cpu,27624.089691,27624.090646,22020096
cpu,27624.090646,27624.091622,22020096
cpu,27624.091622,27624.092588,22020096
cpu,27624.092588,27624.093546,22020096
cpu,27624.093546,27624.094504,22020096
cpu,27624.094504,27624.095462,22020096
cpu,27624.095462,27624.096431,22020096
cpu,27624.096431,27624.097391,22020096
cpu,27624.097391,27624.098353,22020096
cpu,27624.098353,27624.099312,22020096
cpu,27624.099313,27624.100278,22020096
cpu,27624.100278,27624.101232,22020096
cpu,27624.101232,27624.102198,22020096
cpu,27624.102198,27624.103152,22020096
cpu,27624.103153,27624.104121,22020096
cpu,27624.104121,27624.105098,22020096
cpu,27624.105098,27624.106056,22020096
cpu,27624.106056,27624.107008,22020096
cpu,27624.107008,27624.107971,22020096
cpu,27624.107971,27624.108947,22020096
cpu,27624.108947,27624.109902,22020096
cpu,27624.109902,27624.110860,22020096
cpu,27624.110861,27624.111832,22020096
cpu,27624.111833,27624.112799,22020096
cpu,27624.112799,27624.113752,22020096
cpu,27624.113753,27624.114702,22020096
cpu,27624.114703,27624.115661,22020096
cpu,27624.115662,27624.116638,22020096
cpu,27624.116638,27624.117598,22020096
cpu,27624.117598,27624.118554,22020096
cpu,27624.118554,27624.119506,22020096
cpu,27624.119506,27624.120474,22020096
cpu,27624.120474,27624.121437,22020096
cpu,27624.121437,27624.122395,22020096
cpu,27624.122395,27624.123362,22020096
cpu,27624.123362,27624.124334,22020096
cpu,27624.124335,27624.125290,22020096
cpu,27624.125291,27624.126243,22020096
cpu,27624.126243,27624.127203,22020096
cpu,27624.127203,27624.128193,22020096
cpu,27624.128193,27624.129168,22020096
cpu,27624.129168,27624.130148,22020096
cpu,27624.130148,27624.131132,22020096
cpu,27624.131132,27624.132117,22020096
cpu,27624.132117,27624.133070,22020096
cpu,27624.133070,27624.134031,22020096
cpu,27624.134031,27624.134985,22020096
cpu,27624.134986,27624.135947,22020096
cpu,27624.135947,27624.136914,22020096
cpu,27624.136914,27624.137870,22020096
cpu,27624.137870,27624.138829,22020096
cpu,27624.138829,27624.139781,22020096
cpu,27624.139781,27624.140753,22020096
cpu,27624.140754,27624.141708,22020096
cpu,27624.141708,27624.142667,22020096
cpu,27624.142668,27624.143625,22020096
cpu,27624.143625,27624.144599,22020096
cpu,27624.144600,27624.145554,22020096
cpu,27624.145554,27624.146516,22020096
cpu,27624.146517,27624.147475,22020096
cpu,27624.147475,27624.148441,22020096
cpu,27624.148441,27624.149392,22020096
cpu,27624.149392,27624.150353,22020096
cpu,27624.150353,27624.151305,22020096
cpu,27624.151305,27624.152287,22020096
cpu,27624.152288,27624.153245,22020096
cpu,27624.153246,27624.154202,22020096
cpu,27624.154202,27624.155158,22020096
cpu,27624.155158,27624.156128,22020096
cpu,27624.156128,27624.157087,22020096
cpu,27624.157087,27624.158042,22020096
cpu,27624.158042,27624.158991,22020096
cpu,27624.158992,27624.159950,22020096
cpu,27624.159950,27624.160924,22020096
cpu,27624.160925,27624.161882,22020096
cpu,27624.161882,27624.162838,22020096
cpu,27624.162838,27624.163796,22020096
cpu,27624.163796,27624.164763,22020096
cpu,27624.164763,27624.165717,22020096
cpu,27624.165717,27624.166676,22020096
cpu,27624.166676,27624.167632,22020096
cpu,27624.167632,27624.168601,22020096
cpu,27624.168602,27624.169557,22020096
cpu,27624.169558,27624.170509,22020096
cpu,27624.170509,27624.171466,22020096
cpu,27624.171467,27624.172449,22020096
cpu,27624.172449,27624.173405,22020096
cpu,27624.173412,27624.174397,22020096
cpu,27624.174398,27624.175393,22020096
cpu,27624.175393,27624.176378,22020096
cpu,27624.176378,27624.177352,22020096
cpu,27624.177353,27624.178345,22020096
cpu,27624.178346,27624.179298,22020096
cpu,27624.179299,27624.180275,22020096
cpu,27624.180275,27624.181230,22020096
cpu,27624.181231,27624.182200,22020096
cpu,27624.182200,27624.183154,22020096
cpu,27624.183154,27624.184127,22020096
cpu,27624.184127,27624.185085,22020096
cpu,27624.185085,27624.186043,22020096
cpu,27624.186043,27624.187000,22020096
cpu,27624.187000,27624.187958,22020096
cpu,27624.187958,27624.188931,22020096
cpu,27624.188931,27624.189887,22020096
cpu,27624.189887,27624.190839,22020096
cpu,27624.190839,27624.191795,22020096
cpu,27624.191795,27624.192783,22020096
cpu,27624.192783,27624.193741,22020096
cpu,27624.193742,27624.194696,22020096
cpu,27624.194696,27624.195649,22020096
cpu,27624.195650,27624.196626,22020096
cpu,27624.196626,27624.197604,22020096
cpu,27624.197604,27624.198561,22020096
cpu,27624.198561,27624.199514,22020096
cpu,27624.199514,27624.200488,22020096
cpu,27624.200488,27624.201442,22020096
